data,concorso,n1,n2,n3,n4,n5,n6,jolly,superstar
1998-05-23,41,7,12,24,37,58,81,10,
1998-05-27,42,36,48,56,65,71,73,38,
1998-05-30,43,4,11,29,34,86,88,59,
1998-06-03,44,48,50,80,81,84,87,42,
1998-06-06,45,13,18,22,56,67,72,65,
1998-06-10,46,5,14,17,38,64,68,83,
1998-06-13,47,13,26,30,34,83,86,64,
1998-06-17,48,10,16,35,39,64,65,70,
1998-06-20,49,20,24,39,63,65,70,36,
1998-06-24,50,19,43,59,60,67,79,10,
1998-06-27,51,2,16,38,40,44,57,28,
1998-07-01,52,25,33,37,47,48,79,29,
1998-07-04,53,29,42,49,52,53,67,55,
1998-07-08,54,5,20,24,48,78,80,6,
1998-07-11,55,15,16,17,57,60,63,28,
1998-07-15,56,12,32,48,68,70,85,7,
1998-07-18,57,1,36,42,71,72,88,90,
1998-07-22,58,56,71,75,78,81,85,8,
1998-07-25,59,25,37,54,63,70,76,7,
1998-07-29,60,25,60,62,68,83,89,88,
1998-08-01,61,5,14,37,38,50,72,90,
1998-08-05,62,7,24,40,56,79,85,90,
1998-08-08,63,12,27,31,32,57,83,42,
1998-08-12,64,31,33,61,77,86,88,16,
1998-08-17,65,4,47,53,55,71,73,80,
1998-08-19,66,6,15,16,50,62,82,4,
1998-08-22,67,10,36,48,63,83,90,32,
1998-08-26,68,10,40,66,72,76,80,61,
1998-08-29,69,12,19,22,53,72,88,34,
1998-09-02,70,1,43,45,48,83,90,14,
1998-09-05,71,15,16,20,23,24,87,77,
1998-09-09,72,10,25,56,68,71,77,3,
1998-09-12,73,14,37,48,55,84,87,23,
1998-09-16,74,22,26,29,37,75,76,36,
1998-09-19,75,3,33,45,57,78,80,65,
1998-09-23,76,7,9,31,41,67,68,22,
1998-09-26,77,28,31,40,67,74,90,61,
1998-09-30,78,20,34,44,61,74,87,25,
1998-10-03,79,2,9,13,34,46,63,85,
1998-10-07,80,6,13,17,49,51,83,76,
1998-10-10,81,42,43,46,49,52,76,48,
1998-10-14,82,15,28,42,55,76,88,74,
1998-10-17,83,10,13,50,59,64,78,23,
1998-10-21,84,14,39,50,56,72,89,29,
1998-10-24,85,4,26,27,74,77,84,20,
1998-10-28,86,37,60,64,73,80,84,2,
1998-10-31,87,1,21,30,61,73,84,74,
1998-11-04,88,6,54,72,75,81,87,55,
1998-11-07,89,15,19,25,33,40,68,81,
1998-11-11,90,19,38,60,80,81,90,10,
1998-11-14,91,6,31,69,70,76,85,44,
1998-11-18,92,12,18,43,47,50,83,53,
1998-11-21,93,32,36,43,56,66,89,8,
1998-11-25,94,32,39,52,56,69,85,53,
1998-11-28,95,12,15,40,50,66,88,70,
1998-12-02,96,9,23,36,66,67,77,87,
1998-12-05,97,27,35,47,48,59,79,77,
1998-12-09,98,1,11,42,43,61,81,29,
1998-12-12,99,9,37,39,40,42,86,2,
1998-12-16,100,22,43,56,71,77,83,35,
1998-12-19,101,3,6,13,28,49,50,33,
1998-12-23,102,3,9,14,26,47,79,81,
1998-12-28,103,14,43,46,65,71,82,22,
1998-12-30,104,30,36,45,49,63,89,46,
1999-01-02,1,10,12,54,58,72,88,23,
1999-01-07,2,34,43,44,45,53,58,64,
1999-01-09,3,1,6,13,23,53,77,20,
1999-01-13,4,18,23,45,51,61,86,29,
1999-01-16,5,7,9,12,37,86,90,87,
1999-01-20,6,1,43,45,48,51,56,18,
1999-01-23,7,36,45,46,47,74,75,69,
1999-01-27,8,8,48,65,72,83,88,67,
1999-01-30,9,14,20,40,58,68,84,88,
1999-02-03,10,45,67,70,80,81,89,3,
1999-02-06,11,9,10,26,30,44,54,62,
1999-02-10,12,4,8,12,17,19,80,84,
1999-02-13,13,12,20,23,34,67,87,46,
1999-02-17,14,24,45,49,63,78,83,4,
1999-02-20,15,4,26,59,63,69,74,86,
1999-02-24,16,17,19,32,41,52,87,23,
1999-02-27,17,6,7,42,55,75,88,67,
1999-03-03,18,40,41,51,62,66,80,77,
1999-03-06,19,27,41,44,50,68,73,21,
1999-03-10,20,11,20,56,69,72,76,32,
1999-03-13,21,6,18,20,34,72,90,17,
1999-03-17,22,3,7,14,45,68,70,39,
1999-03-20,23,43,71,80,84,88,89,73,
1999-03-24,24,4,26,34,61,76,81,67,
1999-03-27,25,7,18,27,80,81,83,87,
1999-03-31,26,25,60,64,71,75,85,18,
1999-04-03,27,33,41,47,48,60,80,17,
1999-04-07,28,13,27,40,46,70,84,28,
1999-04-10,29,4,11,14,17,25,32,61,
1999-04-14,30,34,63,70,77,83,90,43,
1999-04-17,31,4,6,25,32,73,83,64,
1999-04-21,32,20,53,55,61,64,74,46,
1999-04-24,33,20,22,33,44,50,74,60,
1999-04-28,34,1,51,53,55,73,86,41,
1999-05-03,35,8,49,50,65,66,69,75,
1999-05-05,36,3,10,28,71,81,88,84,
1999-05-08,37,11,14,15,30,68,81,82,
1999-05-12,38,3,7,10,37,57,86,49,
1999-05-15,39,7,33,54,72,73,90,24,
1999-05-19,40,10,23,35,64,74,90,52,
1999-05-22,41,3,28,38,43,73,75,1,
1999-05-26,42,3,4,13,16,59,70,22,
1999-05-29,43,10,34,44,49,62,79,47,
1999-06-02,44,2,16,17,65,69,72,60,
1999-06-05,45,9,36,52,76,77,90,54,
1999-06-09,46,16,32,35,45,72,77,6,
1999-06-12,47,32,35,57,74,79,84,70,
1999-06-16,48,5,20,29,41,56,86,81,
1999-06-19,49,13,23,31,58,67,68,22,
1999-06-23,50,31,36,37,71,86,90,13,
1999-06-26,51,8,19,23,37,65,77,48,
1999-06-30,52,13,22,44,74,77,87,76,
1999-07-03,53,3,6,7,53,65,90,14,
1999-07-07,54,38,46,63,82,83,87,1,
1999-07-10,55,1,4,42,67,75,77,31,
1999-07-14,56,4,48,60,63,84,88,62,
1999-07-17,57,5,22,35,38,74,82,36,
1999-07-21,58,11,19,26,58,67,89,1,
1999-07-24,59,13,16,23,52,67,78,76,
1999-07-28,60,13,64,68,84,89,90,85,
1999-07-31,61,5,34,44,73,77,83,65,
1999-08-04,62,12,23,46,54,78,90,85,
1999-08-07,63,4,16,29,58,69,88,54,
1999-08-11,64,10,19,24,29,42,67,39,
1999-08-14,65,45,64,73,80,81,85,11,
1999-08-18,66,13,16,51,56,65,67,35,
1999-08-21,67,1,32,37,63,67,69,90,
1999-08-25,68,1,25,28,39,51,89,62,
1999-08-28,69,7,12,14,16,24,45,54,
1999-09-01,70,5,19,26,32,67,87,65,
1999-09-04,71,38,40,41,69,76,81,78,
1999-09-08,72,15,38,48,74,75,80,81,
1999-09-11,73,25,40,57,59,76,82,55,
1999-09-15,74,17,20,27,29,72,73,85,
1999-09-18,75,12,15,33,60,79,88,8,
1999-09-22,76,1,11,40,50,53,80,68,
1999-09-25,77,6,27,37,38,47,79,23,
1999-09-29,78,4,16,27,55,67,72,3,
1999-10-02,79,6,10,38,48,49,65,61,
1999-10-06,80,38,58,61,64,82,87,68,
1999-10-09,81,12,35,40,59,78,80,44,
1999-10-13,82,6,24,30,34,37,71,82,
1999-10-16,83,3,35,45,47,54,70,30,
1999-10-20,84,22,26,58,60,67,88,49,
1999-10-23,85,24,46,57,73,79,81,77,
1999-10-27,86,6,25,34,72,76,82,12,
1999-10-30,87,16,21,29,39,70,90,76,
1999-11-03,88,19,42,64,68,72,86,45,
1999-11-06,89,6,7,37,67,80,87,22,
1999-11-10,90,21,45,55,61,73,80,77,
1999-11-13,91,3,23,61,82,83,88,64,
1999-11-17,92,6,51,73,78,80,81,34,
1999-11-20,93,20,31,45,62,76,81,51,
1999-11-24,94,12,16,24,48,53,58,85,
1999-11-27,95,14,20,57,79,85,88,69,
1999-12-01,96,1,13,24,39,44,45,83,
1999-12-04,97,13,39,62,63,66,76,11,
1999-12-09,98,20,32,37,44,75,88,72,
1999-12-11,99,6,27,50,57,77,80,22,
1999-12-15,100,18,21,28,35,41,85,66,
1999-12-18,101,13,42,57,61,63,82,45,
1999-12-22,102,6,9,32,47,59,60,83,
1999-12-27,103,20,21,63,71,75,79,15,
1999-12-29,104,14,15,20,42,70,88,28,
2000-01-03,1,17,38,48,51,55,62,59,
2000-01-05,2,2,13,31,37,38,82,39,
2000-01-08,3,6,15,47,71,75,86,78,
2000-01-12,4,3,15,48,74,76,81,34,
2000-01-15,5,11,21,22,50,59,63,42,
2000-01-19,6,20,29,39,54,57,71,28,
2000-01-22,7,15,21,55,60,70,90,34,
2000-01-26,8,2,57,62,63,73,87,55,
2000-01-29,9,55,65,68,70,73,80,89,
2000-02-02,10,12,13,28,30,47,63,35,
2000-02-05,11,17,48,52,64,86,87,60,
2000-02-09,12,6,36,49,51,52,76,35,
2000-02-12,13,4,33,67,71,81,82,72,
2000-02-16,14,8,27,39,51,54,90,71,
2000-02-19,15,25,28,37,51,54,81,4,
2000-02-23,16,44,53,61,65,86,89,49,
2000-02-26,17,4,35,48,57,69,90,34,
2000-03-01,18,27,32,37,70,82,88,52,
2000-03-04,19,7,19,29,33,40,88,80,
2000-03-08,20,4,13,15,20,32,41,28,
2000-03-11,21,28,42,46,56,74,87,43,
2000-03-15,22,8,17,35,61,78,89,9,
2000-03-18,23,8,58,76,81,85,87,65,
2000-03-22,24,2,19,22,57,65,89,61,
2000-03-25,25,15,27,47,51,62,63,20,
2000-03-29,26,1,6,12,26,57,70,28,
2000-04-01,27,3,9,30,58,60,88,37,
2000-04-05,28,10,17,33,38,67,71,73,
2000-04-08,29,3,12,26,47,54,87,90,
2000-04-12,30,18,24,45,58,62,80,4,
2000-04-15,31,2,27,33,47,53,86,65,
2000-04-19,32,5,53,64,74,77,88,78,
2000-04-22,33,24,35,39,48,82,85,66,
2000-04-26,34,17,51,67,70,82,86,49,
2000-04-29,35,8,42,45,59,68,88,9,
2000-05-03,36,1,13,37,53,62,71,9,
2000-05-06,37,23,26,34,56,66,85,44,
2000-05-10,38,9,12,19,39,82,86,69,
2000-05-13,39,32,38,40,59,62,79,2,
2000-05-17,40,11,14,19,32,78,89,9,
2000-05-20,41,19,32,41,42,67,77,79,
2000-05-24,42,8,10,22,72,87,90,39,
2000-05-27,43,3,25,39,50,53,67,51,
2000-05-31,44,4,8,19,39,63,70,66,
2000-06-03,45,6,17,31,33,43,66,78,
2000-06-07,46,2,4,23,38,53,59,17,
2000-06-10,47,3,16,37,56,58,79,18,
2000-06-14,48,15,25,50,64,80,89,72,
2000-06-17,49,29,32,35,49,69,71,70,
2000-06-21,50,12,15,34,43,55,75,70,
2000-06-24,51,1,28,52,53,63,77,11,
2000-06-28,52,3,17,18,41,63,89,48,
2000-07-01,53,19,39,43,48,62,76,5,
2000-07-05,54,12,34,35,50,63,88,69,
2000-07-08,55,4,6,8,41,76,80,60,
2000-07-12,56,11,15,16,43,49,84,48,
2000-07-15,57,5,18,24,51,55,74,17,
2000-07-19,58,6,37,53,60,66,72,26,
2000-07-22,59,10,13,42,54,66,81,1,
2000-07-26,60,3,37,40,49,53,83,44,
2000-07-29,61,29,31,56,57,76,79,43,
2000-08-02,62,4,39,56,59,65,78,61,
2000-08-05,63,23,36,56,78,80,83,40,
2000-08-09,64,18,36,47,62,75,80,41,
2000-08-12,65,9,19,52,68,70,74,88,
2000-08-16,66,14,21,27,49,82,83,36,
2000-08-19,67,5,30,32,35,55,87,86,
2000-08-23,68,11,13,20,41,76,89,29,
2000-08-26,69,4,14,15,19,76,85,89,
2000-08-30,70,8,16,59,61,78,90,45,
2000-09-02,71,28,44,49,57,64,89,87,
2000-09-06,72,7,11,48,49,64,72,8,
2000-09-09,73,3,6,10,26,43,72,89,
2000-09-13,74,1,45,48,69,70,89,26,
2000-09-16,75,8,9,17,37,49,86,30,
2000-09-20,76,12,14,29,49,62,82,79,
2000-09-23,77,12,51,56,73,85,88,25,
2000-09-27,78,5,48,71,84,85,87,22,
2000-09-30,79,25,35,52,55,60,68,75,
2000-10-04,80,2,3,15,16,24,67,7,
2000-10-07,81,8,10,16,21,39,65,2,
2000-10-11,82,11,54,64,70,73,77,66,
2000-10-14,83,24,35,37,63,81,85,25,
2000-10-18,84,15,33,41,48,52,56,82,
2000-10-21,85,1,10,23,40,68,75,14,
2000-10-25,86,2,38,39,41,61,76,21,
2000-10-28,87,6,21,29,43,80,89,5,
2000-11-02,88,2,55,76,78,81,85,71,
2000-11-04,89,19,21,28,50,53,62,64,
2000-11-08,90,22,42,50,53,78,83,40,
2000-11-11,91,9,27,45,66,68,71,83,
2000-11-15,92,1,25,26,28,53,79,73,
2000-11-18,93,3,21,42,49,64,85,66,
2000-11-22,94,14,25,39,50,72,89,59,
2000-11-25,95,3,14,49,52,65,81,42,
2000-11-29,96,13,17,29,32,35,49,56,
2000-12-02,97,6,11,17,18,20,59,55,
2000-12-06,98,9,16,48,70,75,77,64,
2000-12-09,99,39,55,62,77,82,88,78,
2000-12-13,100,8,54,62,63,66,84,45,
2000-12-16,101,23,33,36,55,76,79,44,
2000-12-20,102,26,36,43,47,64,90,23,
2000-12-23,103,11,33,59,68,84,85,62,
2000-12-27,104,1,5,14,20,39,58,76,
2000-12-30,105,1,8,26,33,47,70,72,
2001-01-03,1,15,25,26,33,41,62,51,
2001-01-08,2,16,19,61,69,72,84,59,
2001-01-10,3,8,14,30,31,35,76,75,
2001-01-13,4,44,50,57,81,83,90,5,
2001-01-17,5,16,22,35,41,53,62,71,
2001-01-20,6,14,25,28,42,82,90,31,
2001-01-24,7,29,42,56,65,80,90,78,
2001-01-27,8,2,6,18,20,49,83,15,
2001-01-31,9,28,46,65,70,77,86,53,
2001-02-03,10,2,8,13,39,47,89,33,
2001-02-07,11,4,23,56,63,71,89,84,
2001-02-10,12,4,36,41,49,56,82,62,
2001-02-14,13,15,22,38,62,83,86,57,
2001-02-17,14,9,17,30,37,40,46,74,
2001-02-21,15,6,28,46,55,56,62,64,
2001-02-24,16,25,26,75,78,79,80,56,
2001-02-28,17,33,43,59,77,83,86,12,
2001-03-03,18,5,13,18,40,51,56,82,
2001-03-07,19,32,34,40,45,65,71,89,
2001-03-10,20,18,39,61,68,74,75,22,
2001-03-14,21,28,35,36,62,66,70,67,
2001-03-17,22,8,19,46,49,73,85,72,
2001-03-21,23,39,43,56,61,65,81,28,
2001-03-24,24,2,8,24,36,80,84,79,
2001-03-28,25,11,39,63,64,74,88,28,
2001-03-31,26,12,14,17,32,50,58,13,
2001-04-04,27,2,23,48,57,63,89,11,
2001-04-07,28,5,12,40,61,63,88,31,
2001-04-11,29,11,41,52,71,81,89,38,
2001-04-14,30,10,11,64,74,82,88,33,
2001-04-18,31,10,26,32,41,42,54,31,
2001-04-21,32,2,7,12,31,38,71,63,
2001-04-26,33,4,22,27,45,58,86,55,
2001-04-28,34,2,14,32,43,44,55,12,
2001-05-02,35,2,45,59,70,75,82,26,
2001-05-05,36,9,22,26,67,71,89,36,
2001-05-09,37,7,30,47,76,83,89,11,
2001-05-12,38,3,32,37,42,43,89,57,
2001-05-16,39,13,15,18,49,65,73,67,
2001-05-19,40,6,36,52,68,80,81,87,
2001-05-23,41,8,39,55,56,57,63,45,
2001-05-26,42,5,26,37,43,45,64,54,
2001-05-30,43,11,18,42,44,45,83,7,
2001-06-04,44,36,48,70,77,82,88,37,
2001-06-06,45,7,18,44,48,51,63,73,
2001-06-09,46,4,18,24,29,41,59,40,
2001-06-13,47,58,61,70,78,84,87,83,
2001-06-16,48,7,12,19,21,60,81,4,
2001-06-20,49,25,32,34,54,64,83,56,
2001-06-23,50,4,15,22,34,77,87,81,
2001-06-27,51,16,20,27,31,32,77,14,
2001-06-30,52,22,31,45,68,84,88,54,
2001-07-04,53,13,29,40,61,73,81,4,
2001-07-07,54,10,50,53,78,82,86,90,
2001-07-11,55,7,10,23,33,68,85,30,
2001-07-14,56,1,31,44,59,64,77,53,
2001-07-18,57,4,22,37,43,63,80,46,
2001-07-21,58,3,9,35,65,80,84,26,
2001-07-25,59,39,56,64,75,76,90,53,
2001-07-28,60,27,31,34,47,58,75,62,
2001-08-01,61,5,39,43,53,63,82,33,
2001-08-04,62,5,22,49,63,65,66,76,
2001-08-08,63,1,8,14,27,83,87,5,
2001-08-11,64,21,25,31,44,49,52,61,
2001-08-16,65,7,58,61,62,73,74,79,
2001-08-18,66,6,7,14,53,54,85,3,
2001-08-22,67,10,12,38,57,72,84,11,
2001-08-25,68,1,9,27,36,68,70,85,
2001-08-29,69,5,11,44,57,86,90,39,
2001-09-01,70,10,11,16,45,46,55,31,
2001-09-05,71,8,43,53,69,74,79,75,
2001-09-08,72,12,25,49,53,67,73,37,
2001-09-12,73,3,5,10,32,44,75,49,
2001-09-15,74,2,14,38,53,56,71,48,
2001-09-19,75,10,21,30,45,55,57,64,
2001-09-22,76,22,26,27,28,72,73,1,
2001-09-26,77,14,62,69,70,86,88,9,
2001-09-29,78,3,4,7,55,61,77,75,
2001-10-03,79,14,42,45,49,71,86,72,
2001-10-06,80,3,11,43,50,85,88,45,
2001-10-10,81,14,35,37,52,66,72,12,
2001-10-13,82,13,28,45,58,70,86,60,
2001-10-17,83,18,49,60,64,80,84,79,
2001-10-20,84,16,19,20,30,31,47,83,
2001-10-24,85,12,23,48,70,85,86,78,
2001-10-27,86,25,32,36,46,57,58,73,
2001-10-31,87,5,11,17,21,28,63,50,
2001-11-03,88,7,24,30,59,66,89,74,
2001-11-07,89,8,10,23,35,40,46,9,
2001-11-10,90,1,34,42,50,70,72,11,
2001-11-14,91,3,4,16,36,74,89,40,
2001-11-17,92,1,7,10,23,66,88,18,
2001-11-21,93,14,53,55,65,83,87,74,
2001-11-24,94,6,7,16,51,62,83,36,
2001-11-28,95,21,32,35,40,66,83,50,
2001-12-01,96,32,48,50,55,58,86,4,
2001-12-05,97,14,32,47,48,63,79,46,
2001-12-10,98,5,19,40,51,85,87,88,
2001-12-12,99,4,14,20,61,75,78,56,
2001-12-15,100,1,14,68,70,75,83,89,
2001-12-19,101,19,25,49,53,81,84,64,
2001-12-22,102,3,21,32,48,59,68,18,
2001-12-27,103,20,21,26,53,80,90,4,
2001-12-29,104,24,26,49,53,68,83,29,
2001-12-31,105,41,51,54,63,66,69,35,
2002-01-02,1,23,31,33,39,74,84,45,
2002-01-05,2,50,52,54,76,77,86,64,
2002-01-09,3,15,30,37,52,61,87,10,
2002-01-12,4,12,26,45,75,82,84,33,
2002-01-16,5,3,13,20,35,46,58,71,
2002-01-19,6,15,19,30,46,47,71,72,
2002-01-23,7,12,41,52,55,84,85,45,
2002-01-26,8,25,33,41,51,66,76,28,
2002-01-30,9,3,6,34,49,79,83,32,
2002-02-02,10,21,28,60,68,71,88,89,
2002-02-06,11,29,37,53,62,79,85,51,
2002-02-09,12,9,35,45,77,85,87,72,
2002-02-13,13,14,39,53,55,73,87,3,
2002-02-16,14,6,36,37,59,61,62,38,
2002-02-20,15,1,61,66,70,78,81,85,
2002-02-23,16,14,17,56,59,69,88,13,
2002-02-27,17,29,33,40,47,54,87,27,
2002-03-02,18,19,26,28,45,86,88,79,
2002-03-06,19,5,6,32,61,67,85,35,
2002-03-09,20,44,56,57,76,86,88,19,
2002-03-13,21,20,40,64,68,76,90,59,
2002-03-16,22,5,30,34,50,82,84,28,
2002-03-20,23,15,35,42,45,55,77,43,
2002-03-23,24,1,29,35,38,45,51,86,
2002-03-27,25,3,11,16,38,69,82,17,
2002-03-30,26,30,56,57,73,82,84,41,
2002-04-03,27,15,37,40,47,64,81,49,
2002-04-06,28,19,23,29,44,69,89,60,
2002-04-10,29,2,28,43,57,79,90,15,
2002-04-13,30,18,21,76,79,80,84,57,
2002-04-17,31,24,27,35,43,64,88,8,
2002-04-20,32,19,42,45,51,62,88,18,
2002-04-24,33,27,42,45,62,74,87,2,
2002-04-27,34,21,37,41,45,60,71,23,
2002-05-02,35,7,15,17,26,36,54,10,
2002-05-04,36,1,6,60,61,69,86,3,
2002-05-08,37,25,55,57,67,69,86,2,
2002-05-11,38,10,17,51,54,62,65,81,
2002-05-15,39,23,26,34,35,71,84,53,
2002-05-18,40,13,28,31,58,59,79,45,
2002-05-22,41,12,26,27,42,66,89,41,
2002-05-25,42,40,46,49,62,77,88,2,
2002-05-29,43,21,36,38,72,79,82,25,
2002-06-01,44,38,50,58,80,85,90,84,
2002-06-05,45,4,41,43,51,85,89,64,
2002-06-08,46,1,38,70,75,83,86,52,
2002-06-12,47,37,51,58,62,63,86,78,
2002-06-15,48,8,16,33,64,71,86,90,
2002-06-19,49,22,24,30,58,60,89,26,
2002-06-22,50,16,37,42,46,60,64,11,
2002-06-26,51,9,11,17,38,81,88,46,
2002-06-29,52,1,4,50,66,69,77,42,
2002-07-03,53,14,21,34,37,66,73,74,
2002-07-06,54,3,15,28,76,83,86,56,
2002-07-10,55,19,37,50,73,75,85,61,
2002-07-13,56,21,38,63,70,71,83,7,
2002-07-17,57,17,20,44,57,71,76,14,
2002-07-20,58,11,19,57,63,84,89,35,
2002-07-24,59,5,17,44,62,80,88,69,
2002-07-27,60,11,20,24,31,40,49,88,
2002-07-31,61,8,12,36,62,68,81,51,
2002-08-03,62,23,26,32,52,71,75,35,
2002-08-07,63,7,8,53,72,82,84,22,
2002-08-10,64,16,29,32,40,48,70,38,
2002-08-14,65,5,7,20,25,38,59,63,
2002-08-17,66,15,30,33,35,87,88,90,
2002-08-21,67,17,23,33,44,46,69,7,
2002-08-24,68,8,25,26,38,66,79,49,
2002-08-28,69,1,7,42,49,77,88,46,
2002-08-31,70,21,28,29,36,45,54,5,
2002-09-04,71,10,41,52,53,61,88,89,
2002-09-07,72,16,51,57,64,72,90,63,
2002-09-11,73,16,23,55,83,86,89,9,
2002-09-14,74,20,23,30,44,78,88,56,
2002-09-18,75,11,18,55,77,81,85,58,
2002-09-21,76,1,10,16,51,76,89,49,
2002-09-25,77,23,50,54,56,78,83,65,
2002-09-28,78,34,56,61,62,70,77,59,
2002-10-02,79,14,18,54,63,70,87,74,
2002-10-05,80,9,15,25,40,44,71,84,
2002-10-09,81,21,22,52,59,65,76,40,
2002-10-12,82,1,2,8,12,48,66,28,
2002-10-16,83,10,27,37,57,66,78,9,
2002-10-19,84,10,21,23,35,55,89,53,
2002-10-23,85,40,43,46,57,77,82,47,
2002-10-26,86,27,70,73,84,88,90,4,
2002-10-30,87,13,15,36,78,82,86,67,
2002-11-02,88,1,15,22,33,42,80,53,
2002-11-06,89,11,13,25,59,61,87,77,
2002-11-09,90,12,34,39,52,61,83,7,
2002-11-13,91,5,44,45,53,73,89,41,
2002-11-16,92,5,11,23,47,58,60,8,
2002-11-20,93,18,26,44,51,63,90,68,
2002-11-23,94,14,42,68,69,80,85,54,
2002-11-27,95,10,16,20,26,48,56,63,
2002-11-30,96,17,34,35,56,65,85,61,
2002-12-03,97,4,5,11,26,34,36,72,
2002-12-05,98,14,17,21,31,33,69,78,
2002-12-07,99,6,17,23,55,56,68,41,
2002-12-10,100,22,31,63,76,78,79,58,
2002-12-12,101,3,8,21,33,46,86,37,
2002-12-14,102,14,35,36,47,58,69,89,
2002-12-17,103,5,27,30,31,34,86,87,
2002-12-19,104,18,27,49,59,81,88,17,
2002-12-21,105,2,27,52,65,70,82,90,
2002-12-24,106,1,3,6,42,81,83,87,
2002-12-27,107,33,41,49,50,73,87,27,
2002-12-28,108,14,17,62,75,76,85,35,
2002-12-31,109,24,31,37,45,71,81,72,
2003-01-02,1,6,18,34,43,58,80,8,
2003-01-04,2,16,17,26,28,37,85,55,
2003-01-08,3,5,26,49,50,73,90,65,
2003-01-11,4,11,12,27,39,67,90,34,
2003-01-15,5,2,46,49,56,82,84,37,
2003-01-18,6,50,62,70,75,82,90,74,
2003-01-22,7,51,57,58,69,86,89,7,
2003-01-25,8,33,37,41,56,65,82,10,
2003-01-29,9,5,11,22,27,36,90,84,
2003-02-01,10,14,24,40,56,81,90,20,
2003-02-05,11,12,18,54,71,80,85,24,
2003-02-08,12,3,14,31,32,64,79,50,
2003-02-12,13,14,22,24,34,60,85,61,
2003-02-15,14,3,9,12,36,71,85,8,
2003-02-19,15,12,19,51,61,62,90,1,
2003-02-22,16,17,41,45,81,82,88,39,
2003-02-26,17,1,41,48,49,84,87,80,
2003-03-01,18,8,12,27,72,80,84,19,
2003-03-05,19,29,40,57,67,76,79,87,
2003-03-08,20,8,27,34,42,83,88,24,
2003-03-12,21,5,27,30,58,78,82,68,
2003-03-15,22,23,27,43,56,71,75,58,
2003-03-19,23,1,17,46,58,67,75,41,
2003-03-22,24,32,34,37,49,52,68,71,
2003-03-26,25,15,37,43,51,61,89,79,
2003-03-29,26,1,31,54,80,81,85,26,
2003-04-02,27,27,28,40,63,67,78,83,
2003-04-05,28,12,18,47,63,75,81,60,
2003-04-09,29,4,14,16,44,76,77,15,
2003-04-12,30,4,61,63,79,84,85,3,
2003-04-16,31,15,22,37,64,88,90,26,
2003-04-19,32,11,26,45,53,69,75,64,
2003-04-23,33,11,21,40,66,68,83,89,
2003-04-26,34,10,18,26,39,62,68,86,
2003-04-30,35,35,38,60,68,74,86,53,
2003-05-03,36,2,6,12,17,19,63,50,
2003-05-07,37,1,2,4,19,26,89,6,
2003-05-10,38,22,38,46,47,77,86,53,
2003-05-14,39,16,21,38,44,67,87,28,
2003-05-17,40,5,39,61,75,79,90,38,
2003-05-21,41,5,28,48,53,75,88,4,
2003-05-24,42,12,35,54,58,61,65,60,
2003-05-28,43,40,44,62,76,85,90,10,
2003-05-31,44,30,44,47,48,53,56,72,
